date_time,temp,rain_1h,snow_1h,clouds_all,weather_main,traffic_volume
2023-01-01 00:00:00,290.79919208980436,0,0.0,37,Clear,0.0
2023-01-01 01:00:00,282.7217177429709,1,0.0,68,Fog,0.0
2023-01-01 02:00:00,278.13155555882037,5,1.0,92,Rain,1696.3084503376792
2023-01-01 03:00:00,256.05368760726,5,0.5,96,Clouds,2430.5289545125365
2023-01-01 04:00:00,254.59752074235618,5,0.5,51,Fog,2792.3008954844763
2023-01-01 05:00:00,268.4948167312781,4,1.0,46,Thunderstorm,2411.71885106877
2023-01-01 06:00:00,279.6096475647454,0,2.0,63,Fog,3453.5974891889127
2023-01-01 07:00:00,250.85256721085247,1,0.0,33,Clear,4165.819864729367
2023-01-01 08:00:00,258.8087463250823,4,0.0,65,Clouds,5155.537466604564
2023-01-01 09:00:00,270.9648005022276,0,2.0,44,Fog,1924.7547752207856
2023-01-01 10:00:00,259.40384746763823,2,1.0,76,Thunderstorm,2344.0064754693144
2023-01-01 11:00:00,292.0020364884217,2,0.0,77,Fog,2471.4149597224305
2023-01-01 12:00:00,284.096405762524,0,0.0,25,Clouds,1790.244744095217
2023-01-01 13:00:00,279.3727221137218,4,0.5,28,Clouds,4296.1792729646895
2023-01-01 14:00:00,257.9179572957118,4,2.0,51,Rain,4141.793000387128
2023-01-01 15:00:00,296.9098287204524,1,0.0,76,Rain,2613.687475197255
2023-01-01 16:00:00,275.46834056614364,0,1.0,67,Clouds,5813.203014585774
2023-01-01 17:00:00,295.42827341465096,0,0.0,20,Thunderstorm,5496.520964914252
2023-01-01 18:00:00,294.4674007367168,2,0.0,86,Fog,6085.6551233287955
2023-01-01 19:00:00,293.64729998644816,0,2.0,50,Fog,3861.6001034228984
2023-01-01 20:00:00,299.6846617541267,0,0.0,35,Rain,3233.493481933695
2023-01-01 21:00:00,288.13826247872305,5,1.0,61,Thunderstorm,6160.255977648602
2023-01-01 22:00:00,277.9753076142135,5,0.0,28,Clear,5113.239805346944
2023-01-01 23:00:00,261.8043250549278,4,1.0,25,Clear,4951.636715161518
2023-01-02 00:00:00,289.9530402812058,0,0.0,38,Thunderstorm,907.3404798115408
2023-01-02 01:00:00,260.0443945626901,0,0.5,74,Thunderstorm,1568.2372528083324
2023-01-02 02:00:00,285.7636641185303,2,1.0,78,Clear,2661.6592007677564
2023-01-02 03:00:00,253.97857106559542,0,0.0,20,Thunderstorm,1867.6283682972467
2023-01-02 04:00:00,290.13066785272014,4,0.0,38,Thunderstorm,2163.9000239314146
2023-01-02 05:00:00,285.3844502725437,0,0.5,39,Rain,1574.9538747110578
2023-01-02 06:00:00,298.8722480151523,5,1.0,89,Clouds,6548.696190307836
2023-01-02 07:00:00,252.31957202917548,1,0.5,28,Thunderstorm,5471.739313163921
2023-01-02 08:00:00,253.38717250950958,5,0.0,21,Fog,6828.78255627626
2023-01-02 09:00:00,297.454977305092,0,0.0,73,Clouds,1913.8252090098788
2023-01-02 10:00:00,256.13131221476067,0,2.0,21,Clouds,3579.2933791214055
2023-01-02 11:00:00,266.42768309198055,0,2.0,21,Rain,3786.3704414620265
2023-01-02 12:00:00,268.4416881565161,5,0.5,38,Clouds,3729.4093630814714
2023-01-02 13:00:00,283.79709949557764,2,0.0,73,Fog,3549.3081068323118
2023-01-02 14:00:00,288.5810592878942,5,0.5,29,Rain,5368.971617100815
2023-01-02 15:00:00,284.85490016903736,5,0.0,33,Clear,5499.74507595701
2023-01-02 16:00:00,296.33354620861076,0,0.0,42,Thunderstorm,6582.319797828785
2023-01-02 17:00:00,252.59579932555542,0,0.0,71,Clear,5703.691298820091
2023-01-02 18:00:00,275.9627817066773,1,0.5,70,Clouds,7228.151112437572
2023-01-02 19:00:00,259.69739994868564,0,0.0,22,Thunderstorm,3855.5476132277404
2023-01-02 20:00:00,290.87119528980895,0,2.0,67,Clouds,5059.903891783194
2023-01-02 21:00:00,273.642875377854,4,2.0,90,Fog,6891.1191986555095
2023-01-02 22:00:00,252.08648743364927,0,2.0,82,Thunderstorm,5217.698670176591
2023-01-02 23:00:00,264.859919617686,5,0.0,35,Fog,6309.479760544942
2023-01-03 00:00:00,263.55607545529443,5,1.0,70,Thunderstorm,3453.2285243506753
2023-01-03 01:00:00,282.5377653164934,0,0.0,94,Clear,1192.4653886489023
2023-01-03 02:00:00,250.99045925792993,0,1.0,99,Clear,1427.2477439476918
2023-01-03 03:00:00,274.8626198226253,1,0.0,49,Thunderstorm,2033.4193806390838
2023-01-03 04:00:00,285.9705707979977,4,1.0,67,Rain,3519.557079984603
2023-01-03 05:00:00,265.6881641695925,2,0.0,71,Rain,2663.0319231714166
