date_time,temp,rain_1h,snow_1h,clouds_all,weather_main,traffic_volume
2022-01-01 00:00:00,280.9093038673935,1,0.0,49,Clear,365.60472574859693
2022-01-01 01:00:00,287.46253444254876,3,0.0,95,Rain,654.9314839018884
2022-01-01 02:00:00,298.62550684403527,0,0.0,75,Rain,800.3355829193861
2022-01-01 03:00:00,302.23915591731696,1,0.0,59,Clouds,1123.9499468255854
2022-01-01 04:00:00,271.5599309838884,0,0.0,22,Rain,667.9601126570819
2022-01-01 05:00:00,271.43874637752026,0,0.0,56,Clear,1407.594620837659
2022-01-01 06:00:00,296.4972251260269,0,0.0,8,Rain,1046.6952788753433
2022-01-01 07:00:00,295.7621310349814,3,0.0,9,Clear,4470.981523354636
2022-01-01 08:00:00,288.22027559555346,3,0.0,3,Mist,4293.584530099073
2022-01-01 09:00:00,264.02418842384856,0,0.0,80,Snow,4093.658983576243
2022-01-01 10:00:00,271.25329163909635,0,0.0,93,Snow,1975.194304310472
2022-01-01 11:00:00,266.2580712811872,3,1.0,19,Clouds,3293.5021459176705
2022-01-01 12:00:00,265.3739197769014,1,0.0,51,Clouds,3022.36287790659
2022-01-01 13:00:00,291.9295065679574,3,0.0,20,Snow,3850.1604257960926
2022-01-01 14:00:00,264.2270533676551,0,0.0,80,Clouds,3162.7462017186417
2022-01-01 15:00:00,295.02319722822176,2,1.0,79,Rain,3886.3487932029298
2022-01-01 16:00:00,309.7101199041389,0,0.0,61,Clouds,3802.170156508941
2022-01-01 17:00:00,309.249908204893,3,0.0,85,Snow,6758.4831957145125
2022-01-01 18:00:00,306.64419244211473,0,0.0,44,Mist,5465.72860817867
2022-01-01 19:00:00,297.4354530038985,1,0.0,3,Rain,6483.51107877843
2022-01-01 20:00:00,275.36007247813274,2,0.5,87,Mist,4577.483660364837
2022-01-01 21:00:00,270.3186096231581,0,0.0,46,Rain,4612.360886548327
2022-01-01 22:00:00,261.19954358085425,0,0.0,32,Clouds,4927.723054480342
2022-01-01 23:00:00,292.12695704972697,0,0.0,55,Clouds,4895.76631265405
2022-01-02 00:00:00,281.1595505811826,3,1.0,60,Mist,1208.7477773796072
2022-01-02 01:00:00,272.3704602384016,0,0.0,55,Clear,236.23214645611634
2022-01-02 02:00:00,287.64829878622106,0,0.0,99,Mist,445.4571797198606
2022-01-02 03:00:00,269.0338518507274,3,0.0,74,Mist,1587.1933899669173
2022-01-02 04:00:00,301.1045211729814,0,0.0,82,Clouds,808.422340081853
2022-01-02 05:00:00,283.4292430690268,1,0.0,89,Clouds,1984.1431478718418
2022-01-02 06:00:00,288.08266918055523,0,0.0,73,Rain,1694.6881887973113
2022-01-02 07:00:00,268.90385737420104,3,1.0,7,Clouds,3992.9242589723376
2022-01-02 08:00:00,260.0697058941002,0,0.5,46,Clear,3796.393507868994
2022-01-02 09:00:00,301.9114799276412,3,0.5,82,Clouds,5001.624880353122
2022-01-02 10:00:00,280.68661122859055,0,0.0,81,Rain,2671.628127227233
2022-01-02 11:00:00,283.5060067477879,0,0.0,45,Clouds,2598.476159406056
2022-01-02 12:00:00,293.93044731208875,2,1.0,14,Clear,3218.1285263043737
2022-01-02 13:00:00,290.09069054471564,2,0.0,3,Mist,3253.538814293018
2022-01-02 14:00:00,291.7519954909804,0,0.0,99,Mist,3216.1719889391647
2022-01-02 15:00:00,267.6767143057066,3,1.0,22,Clouds,3962.6124788498755
2022-01-02 16:00:00,300.38772567942584,2,0.5,49,Clear,3862.817338586609
2022-01-02 17:00:00,265.7695429126411,0,0.5,27,Mist,5460.134480617774
2022-01-02 18:00:00,273.09990977980533,3,0.0,70,Rain,7096.014313432321
2022-01-02 19:00:00,261.1364422238418,1,1.0,54,Clouds,6606.319508920436
2022-01-02 20:00:00,264.0991371636372,0,0.0,69,Clouds,3929.7185034472404
2022-01-02 21:00:00,286.2435186569138,2,0.0,35,Clouds,4968.80169514125
2022-01-02 22:00:00,296.8324388875917,0,0.5,76,Mist,4940.295863546073
2022-01-02 23:00:00,265.6350758874069,2,0.0,99,Clear,5124.965471791358
2022-01-03 00:00:00,284.4698490859701,3,0.5,32,Clear,1174.2548061909747
2022-01-03 01:00:00,281.8592786818943,0,0.0,54,Snow,1626.5454703764628
2022-01-03 02:00:00,294.78062404588206,2,1.0,77,Rain,1971.1612536527823
2022-01-03 03:00:00,285.0741255798375,1,0.5,41,Clear,2357.848539096226
2022-01-03 04:00:00,260.4753146399146,0,0.0,33,Rain,2160.104481212474
2022-01-03 05:00:00,282.7977064678911,1,0.0,92,Mist,1956.7427827586455
2022-01-03 06:00:00,298.6989168633749,0,0.0,43,Mist,1979.709373739975
2022-01-03 07:00:00,286.3789703284393,1,0.5,22,Clouds,4376.2417523916265
2022-01-03 08:00:00,307.0262801840941,0,1.0,82,Mist,4373.780665844021
2022-01-03 09:00:00,260.3716213726717,0,0.0,91,Snow,4564.740396484293
2022-01-03 10:00:00,302.8209905819213,0,0.5,59,Clouds,2498.5538597387717
2022-01-03 11:00:00,302.57991091183345,0,0.0,64,Snow,2961.468746057216
2022-01-03 12:00:00,288.5054974872425,0,0.0,39,Clouds,4072.765696390746
2022-01-03 13:00:00,268.63337639880274,0,0.0,88,Snow,3932.315972448881
2022-01-03 14:00:00,268.85238851772,0,0.0,13,Mist,3924.0770718777317
2022-01-03 15:00:00,299.6014188368748,0,0.0,70,Mist,3976.840638596086
2022-01-03 16:00:00,278.23921347327826,2,0.0,93,Clear,4768.361423412341
2022-01-03 17:00:00,280.4736303080698,0,0.0,53,Clear,6593.977820998401
2022-01-03 18:00:00,282.2568454785075,3,0.0,57,Snow,7586.453989910658
2022-01-03 19:00:00,261.16005525886317,0,0.0,88,Rain,6555.341782095876
2022-01-03 20:00:00,274.4823080443033,0,0.0,42,Snow,4722.272355111805
2022-01-03 21:00:00,300.7970298240172,0,0.0,89,Clear,5189.890267858963
2022-01-03 22:00:00,290.1999215925289,1,0.0,42,Clear,5765.505092588966
2022-01-03 23:00:00,278.15182176557687,0,0.5,13,Rain,6000.866554322133
2022-01-04 00:00:00,299.9673421574544,3,0.5,91,Mist,1839.5295401904748
2022-01-04 01:00:00,261.88797899274186,0,0.0,51,Clouds,1039.1933890254622
2022-01-04 02:00:00,285.5028448932245,0,0.0,68,Mist,1613.2747265310522
2022-01-04 03:00:00,264.6045066401793,1,0.0,96,Rain,1683.43812562326
2022-01-04 04:00:00,264.911094682388,2,0.0,65,Snow,2651.508257472234
2022-01-04 05:00:00,296.2954507638407,3,1.0,31,Mist,2854.511743542522
2022-01-04 06:00:00,288.38699907421085,0,1.0,42,Clouds,2322.6266364031057
2022-01-04 07:00:00,291.18701820118054,0,0.0,26,Mist,4036.8582805215174
2022-01-04 08:00:00,305.17679072551573,0,0.0,78,Mist,4604.573362971002
2022-01-04 09:00:00,272.37684277883125,0,0.5,33,Snow,4523.393397562083
2022-01-04 10:00:00,303.6238398214493,0,0.0,47,Mist,2801.6057291795482
2022-01-04 11:00:00,303.8333145573555,0,0.5,92,Mist,3044.510462060634
2022-01-04 12:00:00,294.01812114034254,0,0.0,58,Clouds,3477.7937722650895
2022-01-04 13:00:00,302.68521501225655,0,0.5,8,Snow,3852.3390252632166
2022-01-04 14:00:00,304.2771675231964,2,1.0,4,Rain,4446.255614208678
2022-01-04 15:00:00,293.01081264071087,1,0.0,29,Snow,4583.5614924483025
2022-01-04 16:00:00,270.89066500681315,0,1.0,44,Rain,4076.5088789449187
2022-01-04 17:00:00,268.5231292578961,0,0.0,36,Clear,6288.533037234969
2022-01-04 18:00:00,307.57289039899655,0,0.5,13,Mist,6850.370786690189
2022-01-04 19:00:00,301.40452392028607,0,0.5,80,Mist,6762.161241332118
